,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Fri, Mar 1, 2019",7:30p,Chicago Bulls,168,Atlanta Hawks,161,Box Score,4OT,15267,
1,"Fri, Mar 1, 2019",7:30p,Charlotte Hornets,123,Brooklyn Nets,112,Box Score,,15578,
2,"Fri, Mar 1, 2019",8:00p,Washington Wizards,96,Boston Celtics,107,Box Score,,18624,
3,"Fri, Mar 1, 2019",8:00p,Portland Trail Blazers,117,Toronto Raptors,119,Box Score,,19800,
4,"Fri, Mar 1, 2019",9:00p,New Orleans Pelicans,130,Phoenix Suns,116,Box Score,,14123,
5,"Fri, Mar 1, 2019",10:00p,Los Angeles Clippers,116,Sacramento Kings,109,Box Score,,17583,
6,"Fri, Mar 1, 2019",10:30p,Milwaukee Bucks,131,Los Angeles Lakers,120,Box Score,,18997,
7,"Sat, Mar 2, 2019",5:00p,Detroit Pistons,129,Cleveland Cavaliers,93,Box Score,,19432,
8,"Sat, Mar 2, 2019",7:00p,Orlando Magic,117,Indiana Pacers,112,Box Score,,17923,
9,"Sat, Mar 2, 2019",7:30p,Brooklyn Nets,88,Miami Heat,117,Box Score,,19600,
10,"Sat, Mar 2, 2019",8:30p,Memphis Grizzlies,111,Dallas Mavericks,81,Box Score,,20233,
11,"Sat, Mar 2, 2019",8:30p,Golden State Warriors,120,Philadelphia 76ers,117,Box Score,,20624,
12,"Sat, Mar 2, 2019",8:30p,Oklahoma City Thunder,102,San Antonio Spurs,116,Box Score,,18439,
13,"Sat, Mar 2, 2019",9:00p,New Orleans Pelicans,120,Denver Nuggets,112,Box Score,,19978,
14,"Sat, Mar 2, 2019",9:00p,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,18055,
15,"Sat, Mar 2, 2019",9:00p,Milwaukee Bucks,111,Utah Jazz,115,Box Score,,18306,
16,"Sun, Mar 3, 2019",1:00p,Portland Trail Blazers,118,Charlotte Hornets,108,Box Score,,18355,
17,"Sun, Mar 3, 2019",3:30p,Houston Rockets,115,Boston Celtics,104,Box Score,,18624,
18,"Sun, Mar 3, 2019",3:30p,Atlanta Hawks,123,Chicago Bulls,118,Box Score,,20526,
19,"Sun, Mar 3, 2019",3:30p,New York Knicks,107,Los Angeles Clippers,128,Box Score,,19068,
20,"Sun, Mar 3, 2019",6:00p,Orlando Magic,93,Cleveland Cavaliers,107,Box Score,,19432,
21,"Sun, Mar 3, 2019",6:00p,Toronto Raptors,107,Detroit Pistons,112,Box Score,OT,19161,
22,"Sun, Mar 3, 2019",6:00p,Minnesota Timberwolves,121,Washington Wizards,135,Box Score,,17869,
23,"Sun, Mar 3, 2019",7:00p,Memphis Grizzlies,95,Oklahoma City Thunder,99,Box Score,,18203,
24,"Mon, Mar 4, 2019",7:30p,Dallas Mavericks,88,Brooklyn Nets,127,Box Score,,17064,
25,"Mon, Mar 4, 2019",7:30p,Atlanta Hawks,113,Miami Heat,114,Box Score,,19600,
26,"Mon, Mar 4, 2019",8:30p,Denver Nuggets,103,San Antonio Spurs,104,Box Score,,18354,
27,"Mon, Mar 4, 2019",9:00p,Milwaukee Bucks,105,Phoenix Suns,114,Box Score,,18055,
28,"Mon, Mar 4, 2019",9:00p,New Orleans Pelicans,115,Utah Jazz,112,Box Score,,18306,
29,"Mon, Mar 4, 2019",10:00p,New York Knicks,108,Sacramento Kings,115,Box Score,,17034,
30,"Mon, Mar 4, 2019",10:30p,Los Angeles Clippers,113,Los Angeles Lakers,105,Box Score,,18997,
31,"Tue, Mar 5, 2019",7:00p,Chicago Bulls,96,Indiana Pacers,105,Box Score,,15753,
32,"Tue, Mar 5, 2019",7:00p,Orlando Magic,106,Philadelphia 76ers,114,Box Score,,20379,
33,"Tue, Mar 5, 2019",8:00p,Portland Trail Blazers,111,Memphis Grizzlies,120,Box Score,,13801,
34,"Tue, Mar 5, 2019",8:00p,Oklahoma City Thunder,120,Minnesota Timberwolves,131,Box Score,,15728,
35,"Tue, Mar 5, 2019",8:00p,Houston Rockets,107,Toronto Raptors,95,Box Score,,19800,
36,"Tue, Mar 5, 2019",10:30p,Boston Celtics,128,Golden State Warriors,95,Box Score,,19596,
37,"Wed, Mar 6, 2019",7:00p,Miami Heat,91,Charlotte Hornets,84,Box Score,,18137,
38,"Wed, Mar 6, 2019",7:00p,Minnesota Timberwolves,114,Detroit Pistons,131,Box Score,,15240,
39,"Wed, Mar 6, 2019",7:00p,Dallas Mavericks,123,Washington Wizards,132,Box Score,,16867,
40,"Wed, Mar 6, 2019",7:30p,San Antonio Spurs,111,Atlanta Hawks,104,Box Score,,15208,
41,"Wed, Mar 6, 2019",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,113,Box Score,,14177,
42,"Wed, Mar 6, 2019",8:00p,Philadelphia 76ers,107,Chicago Bulls,108,Box Score,,19927,
43,"Wed, Mar 6, 2019",8:00p,Utah Jazz,114,New Orleans Pelicans,104,Box Score,,14681,
44,"Wed, Mar 6, 2019",9:00p,New York Knicks,96,Phoenix Suns,107,Box Score,,14427,
45,"Wed, Mar 6, 2019",10:00p,Boston Celtics,111,Sacramento Kings,109,Box Score,,17583,
46,"Wed, Mar 6, 2019",10:30p,Denver Nuggets,115,Los Angeles Lakers,99,Box Score,,18997,
47,"Thu, Mar 7, 2019",8:00p,Indiana Pacers,98,Milwaukee Bucks,117,Box Score,,17884,
48,"Thu, Mar 7, 2019",10:30p,Oklahoma City Thunder,129,Portland Trail Blazers,121,Box Score,OT,20037,
49,"Fri, Mar 8, 2019",7:00p,Washington Wizards,111,Charlotte Hornets,112,Box Score,,18144,
50,"Fri, Mar 8, 2019",7:00p,Dallas Mavericks,106,Orlando Magic,111,Box Score,,19196,
51,"Fri, Mar 8, 2019",8:00p,Detroit Pistons,112,Chicago Bulls,104,Box Score,,21048,
52,"Fri, Mar 8, 2019",8:00p,Philadelphia 76ers,91,Houston Rockets,107,Box Score,,18055,
53,"Fri, Mar 8, 2019",8:00p,Utah Jazz,104,Memphis Grizzlies,114,Box Score,,15407,
54,"Fri, Mar 8, 2019",8:00p,Cleveland Cavaliers,110,Miami Heat,126,Box Score,,19600,
55,"Fri, Mar 8, 2019",8:00p,Toronto Raptors,127,New Orleans Pelicans,104,Box Score,,17325,
56,"Fri, Mar 8, 2019",10:30p,Denver Nuggets,105,Golden State Warriors,122,Box Score,,19596,
57,"Fri, Mar 8, 2019",10:30p,Oklahoma City Thunder,110,Los Angeles Clippers,118,Box Score,,17915,
58,"Sat, Mar 9, 2019",12:00p,Sacramento Kings,102,New York Knicks,94,Box Score,,19812,
59,"Sat, Mar 9, 2019",7:00p,Brooklyn Nets,114,Atlanta Hawks,112,Box Score,,16527,
60,"Sat, Mar 9, 2019",8:00p,Washington Wizards,130,Minnesota Timberwolves,135,Box Score,OT,14381,
61,"Sat, Mar 9, 2019",8:30p,Boston Celtics,120,Los Angeles Lakers,107,Box Score,,18997,
62,"Sat, Mar 9, 2019",9:00p,Charlotte Hornets,114,Milwaukee Bucks,131,Box Score,,17996,
63,"Sat, Mar 9, 2019",10:00p,Phoenix Suns,120,Portland Trail Blazers,127,Box Score,,19851,
64,"Sun, Mar 10, 2019",12:00p,Chicago Bulls,108,Detroit Pistons,131,Box Score,,19356,
65,"Sun, Mar 10, 2019",3:30p,Toronto Raptors,125,Miami Heat,104,Box Score,,19600,
66,"Sun, Mar 10, 2019",3:30p,Indiana Pacers,89,Philadelphia 76ers,106,Box Score,,20636,
