,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
72,"Sun, Feb 11, 2018",3:30p,Detroit Pistons,115,Atlanta Hawks,118,Box Score,,15214,
73,"Sun, Feb 11, 2018",3:30p,Cleveland Cavaliers,121,Boston Celtics,99,Box Score,,18624,
74,"Sun, Feb 11, 2018",5:00p,New York Knicks,113,Indiana Pacers,121,Box Score,,17923,
75,"Sun, Feb 11, 2018",7:00p,Dallas Mavericks,97,Houston Rockets,104,Box Score,,18055,
76,"Sun, Feb 11, 2018",7:00p,Sacramento Kings,106,Minnesota Timberwolves,111,Box Score,,18068,
77,"Sun, Feb 11, 2018",7:00p,Memphis Grizzlies,92,Oklahoma City Thunder,110,Box Score,,18203,
78,"Sun, Feb 11, 2018",9:00p,Utah Jazz,115,Portland Trail Blazers,96,Box Score,,19730,
79,"Mon, Feb 12, 2018",7:00p,New Orleans Pelicans,118,Detroit Pistons,103,Box Score,,14453,
80,"Mon, Feb 12, 2018",7:00p,New York Knicks,92,Philadelphia 76ers,108,Box Score,,20589,
81,"Mon, Feb 12, 2018",7:30p,Los Angeles Clippers,114,Brooklyn Nets,101,Box Score,,13735,
82,"Mon, Feb 12, 2018",8:00p,Orlando Magic,101,Chicago Bulls,105,Box Score,,18611,
83,"Mon, Feb 12, 2018",9:00p,San Antonio Spurs,99,Utah Jazz,101,Box Score,,18306,
84,"Mon, Feb 12, 2018",10:30p,Phoenix Suns,83,Golden State Warriors,129,Box Score,,19596,
85,"Tue, Feb 13, 2018",7:00p,Miami Heat,112,Toronto Raptors,115,Box Score,,19800,
86,"Tue, Feb 13, 2018",8:00p,Atlanta Hawks,92,Milwaukee Bucks,97,Box Score,,14720,
87,"Tue, Feb 13, 2018",8:00p,Houston Rockets,126,Minnesota Timberwolves,108,Box Score,,18978,
88,"Tue, Feb 13, 2018",8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,112,Box Score,,18203,
89,"Tue, Feb 13, 2018",8:30p,Sacramento Kings,114,Dallas Mavericks,109,Box Score,,19801,
90,"Tue, Feb 13, 2018",10:30p,San Antonio Spurs,109,Denver Nuggets,117,Box Score,,17623,
91,"Wed, Feb 14, 2018",7:00p,Atlanta Hawks,98,Detroit Pistons,104,Box Score,,15849,
92,"Wed, Feb 14, 2018",7:00p,Charlotte Hornets,104,Orlando Magic,102,Box Score,,18428,
93,"Wed, Feb 14, 2018",7:00p,Miami Heat,102,Philadelphia 76ers,104,Box Score,,20492,
94,"Wed, Feb 14, 2018",7:30p,Indiana Pacers,108,Brooklyn Nets,103,Box Score,,13159,
95,"Wed, Feb 14, 2018",7:30p,Washington Wizards,118,New York Knicks,113,Box Score,,19812,
96,"Wed, Feb 14, 2018",8:00p,Los Angeles Clippers,129,Boston Celtics,119,Box Score,,18624,
97,"Wed, Feb 14, 2018",8:00p,Toronto Raptors,122,Chicago Bulls,98,Box Score,,21006,
98,"Wed, Feb 14, 2018",8:00p,Sacramento Kings,91,Houston Rockets,100,Box Score,,18055,
99,"Wed, Feb 14, 2018",8:00p,Oklahoma City Thunder,121,Memphis Grizzlies,114,Box Score,,16012,
100,"Wed, Feb 14, 2018",8:00p,Los Angeles Lakers,117,New Orleans Pelicans,139,Box Score,,15436,
101,"Wed, Feb 14, 2018",9:00p,Phoenix Suns,97,Utah Jazz,107,Box Score,,18306,
102,"Wed, Feb 14, 2018",10:30p,Golden State Warriors,117,Portland Trail Blazers,123,Box Score,,19520,
103,"Thu, Feb 15, 2018",8:00p,Denver Nuggets,134,Milwaukee Bucks,123,Box Score,,15486,
104,"Thu, Feb 15, 2018",9:00p,Los Angeles Lakers,111,Minnesota Timberwolves,119,Box Score,,17534,
105,"Thu, Feb 22, 2018",7:00p,Brooklyn Nets,96,Charlotte Hornets,111,Box Score,,14112,
106,"Thu, Feb 22, 2018",7:00p,New York Knicks,120,Orlando Magic,113,Box Score,,18846,
107,"Thu, Feb 22, 2018",8:00p,Philadelphia 76ers,116,Chicago Bulls,115,Box Score,,21312,
108,"Thu, Feb 22, 2018",8:00p,Washington Wizards,110,Cleveland Cavaliers,103,Box Score,,20562,
109,"Thu, Feb 22, 2018",10:00p,Oklahoma City Thunder,110,Sacramento Kings,107,Box Score,,17583,
110,"Thu, Feb 22, 2018",10:30p,Los Angeles Clippers,127,Golden State Warriors,134,Box Score,,19596,
111,"Fri, Feb 23, 2018",7:00p,Boston Celtics,110,Detroit Pistons,98,Box Score,,20491,
112,"Fri, Feb 23, 2018",7:00p,Atlanta Hawks,93,Indiana Pacers,116,Box Score,,17923,
113,"Fri, Feb 23, 2018",7:00p,Charlotte Hornets,122,Washington Wizards,105,Box Score,,17824,
114,"Fri, Feb 23, 2018",7:30p,Milwaukee Bucks,122,Toronto Raptors,119,Box Score,OT,20047,
115,"Fri, Feb 23, 2018",8:00p,Minnesota Timberwolves,102,Houston Rockets,120,Box Score,,18055,
116,"Fri, Feb 23, 2018",8:00p,Cleveland Cavaliers,112,Memphis Grizzlies,89,Box Score,,18119,
117,"Fri, Feb 23, 2018",8:00p,Miami Heat,123,New Orleans Pelicans,124,Box Score,OT,17751,
118,"Fri, Feb 23, 2018",9:00p,San Antonio Spurs,119,Denver Nuggets,122,Box Score,,20027,
119,"Fri, Feb 23, 2018",9:00p,Los Angeles Clippers,128,Phoenix Suns,117,Box Score,,17126,
120,"Fri, Feb 23, 2018",9:00p,Portland Trail Blazers,100,Utah Jazz,81,Box Score,,18306,
121,"Fri, Feb 23, 2018",10:30p,Dallas Mavericks,102,Los Angeles Lakers,124,Box Score,,18997,
122,"Sat, Feb 24, 2018",5:00p,Orlando Magic,105,Philadelphia 76ers,116,Box Score,,20594,
123,"Sat, Feb 24, 2018",7:30p,Memphis Grizzlies,89,Miami Heat,115,Box Score,,19600,
124,"Sat, Feb 24, 2018",7:30p,Boston Celtics,121,New York Knicks,112,Box Score,,19812,
125,"Sat, Feb 24, 2018",8:30p,Oklahoma City Thunder,80,Golden State Warriors,112,Box Score,,19596,
126,"Sat, Feb 24, 2018",9:00p,Chicago Bulls,104,Minnesota Timberwolves,122,Box Score,,18978,
127,"Sat, Feb 24, 2018",9:00p,Portland Trail Blazers,106,Phoenix Suns,104,Box Score,,17112,
128,"Sat, Feb 24, 2018",9:00p,Dallas Mavericks,90,Utah Jazz,97,Box Score,,18306,
129,"Sat, Feb 24, 2018",10:00p,Los Angeles Lakers,113,Sacramento Kings,108,Box Score,,17583,
130,"Sun, Feb 25, 2018",1:00p,Detroit Pistons,98,Charlotte Hornets,114,Box Score,,17894,
131,"Sun, Feb 25, 2018",3:00p,New Orleans Pelicans,123,Milwaukee Bucks,121,Box Score,OT,18717,
132,"Sun, Feb 25, 2018",3:30p,San Antonio Spurs,110,Cleveland Cavaliers,94,Box Score,,20562,
133,"Sun, Feb 25, 2018",8:00p,Houston Rockets,119,Denver Nuggets,114,Box Score,,20044,
134,"Sun, Feb 25, 2018",8:00p,Philadelphia 76ers,94,Washington Wizards,109,Box Score,,17180,
135,"Mon, Feb 26, 2018",7:30p,Los Angeles Lakers,123,Atlanta Hawks,104,Box Score,,16328,
136,"Mon, Feb 26, 2018",7:30p,Memphis Grizzlies,98,Boston Celtics,109,Box Score,,18624,
137,"Mon, Feb 26, 2018",7:30p,Chicago Bulls,87,Brooklyn Nets,104,Box Score,,15081,
138,"Mon, Feb 26, 2018",7:30p,Golden State Warriors,125,New York Knicks,111,Box Score,,19812,
139,"Mon, Feb 26, 2018",7:30p,Detroit Pistons,94,Toronto Raptors,123,Box Score,,19800,
140,"Mon, Feb 26, 2018",8:00p,Phoenix Suns,116,New Orleans Pelicans,125,Box Score,,14302,
141,"Mon, Feb 26, 2018",8:00p,Orlando Magic,105,Oklahoma City Thunder,112,Box Score,,18203,
142,"Mon, Feb 26, 2018",8:30p,Indiana Pacers,103,Dallas Mavericks,109,Box Score,,19536,
143,"Mon, Feb 26, 2018",9:00p,Houston Rockets,96,Utah Jazz,85,Box Score,,18306,
144,"Mon, Feb 26, 2018",10:00p,Minnesota Timberwolves,118,Sacramento Kings,100,Box Score,,17583,
145,"Tue, Feb 27, 2018",7:00p,Chicago Bulls,103,Charlotte Hornets,118,Box Score,,14521,
146,"Tue, Feb 27, 2018",7:00p,Brooklyn Nets,123,Cleveland Cavaliers,129,Box Score,,20562,
147,"Tue, Feb 27, 2018",7:30p,Philadelphia 76ers,101,Miami Heat,102,Box Score,,19600,
148,"Tue, Feb 27, 2018",8:00p,Washington Wizards,107,Milwaukee Bucks,104,Box Score,,16093,
149,"Tue, Feb 27, 2018",10:00p,Sacramento Kings,99,Portland Trail Blazers,116,Box Score,,19468,
150,"Tue, Feb 27, 2018",10:30p,Los Angeles Clippers,122,Denver Nuggets,120,Box Score,,15004,
151,"Wed, Feb 28, 2018",7:00p,Milwaukee Bucks,87,Detroit Pistons,110,Box Score,,16146,
152,"Wed, Feb 28, 2018",7:00p,Toronto Raptors,117,Orlando Magic,104,Box Score,,17328,
153,"Wed, Feb 28, 2018",7:30p,Indiana Pacers,102,Atlanta Hawks,107,Box Score,,13316,
154,"Wed, Feb 28, 2018",7:30p,Charlotte Hornets,106,Boston Celtics,134,Box Score,,18624,
155,"Wed, Feb 28, 2018",8:00p,Phoenix Suns,110,Memphis Grizzlies,102,Box Score,,13484,
156,"Wed, Feb 28, 2018",8:00p,Golden State Warriors,109,Washington Wizards,101,Box Score,,20356,
157,"Wed, Feb 28, 2018",8:30p,Oklahoma City Thunder,111,Dallas Mavericks,110,Box Score,OT,20202,
158,"Wed, Feb 28, 2018",8:30p,New Orleans Pelicans,121,San Antonio Spurs,116,Box Score,,18418,
159,"Wed, Feb 28, 2018",10:30p,Houston Rockets,105,Los Angeles Clippers,92,Box Score,,19068,
